date,temperature,humidity,luminosity
2023-12-21 14:46:57.287,18.9,27.4,171
2023-12-21 14:46:52.246,18.9,27.4,171
2023-12-21 14:46:47.206,18.9,27.5,168
2023-12-21 14:46:42.166,18.9,27.7,134
2023-12-21 14:46:37.126,18.9,27.9,141
2023-12-21 14:46:32.085,18.9,27.9,140
2023-12-21 14:46:27.044,18.8,28.1,151
2023-12-21 14:46:22.003,18.9,28.1,159
2023-12-21 14:46:16.964,18.9,28.1,181
2023-12-21 14:46:11.922,18.9,27.9,180
2023-12-21 14:46:06.882,18.9,28.0,180
2023-12-21 14:46:01.843,18.9,28.2,182
2023-12-21 14:45:56.802,18.9,28.3,181
2023-12-21 14:45:51.762,18.9,28.0,181
2023-12-21 14:45:46.721,18.9,27.7,142
2023-12-21 14:45:41.680,18.9,27.5,138
2023-12-21 14:45:36.640,18.9,27.7,138
2023-12-21 14:45:31.600,18.9,27.4,135
2023-12-21 14:45:26.560,18.9,27.5,130
2023-12-21 14:45:21.519,18.9,27.6,110
2023-12-21 14:45:16.478,18.9,27.5,162
2023-12-21 14:45:11.437,18.9,27.2,99
2023-12-21 14:45:06.396,18.9,27.1,149
2023-12-21 14:45:01.355,19.0,27.1,148
2023-12-21 14:44:56.315,18.9,27.3,175
2023-12-21 14:44:51.275,18.9,27.4,143
2023-12-21 14:44:46.235,18.9,27.5,150
2023-12-21 14:44:41.194,18.9,27.6,149
2023-12-21 14:44:36.154,18.9,27.5,154
2023-12-21 14:44:31.114,19.0,27.6,166
2023-12-21 14:44:26.073,18.9,27.4,168
2023-12-21 14:44:21.033,18.9,27.4,166
2023-12-21 14:44:15.993,18.9,27.5,165
2023-12-21 14:44:10.952,19.0,27.5,164
2023-12-21 14:44:05.912,18.9,27.5,167
2023-12-21 14:44:00.872,18.9,27.6,168
2023-12-21 14:43:55.832,19.0,27.7,165
2023-12-21 14:43:50.792,18.9,27.8,168
2023-12-21 14:43:45.752,18.9,27.8,161
2023-12-21 14:43:40.712,18.9,27.9,167
2023-12-21 14:43:35.671,18.9,27.6,172
2023-12-21 14:43:30.630,18.9,27.5,156
2023-12-21 14:43:25.590,19.0,27.2,160
2023-12-21 14:43:20.549,18.9,27.2,160
2023-12-21 14:43:15.509,19.0,27.3,164
2023-12-21 14:43:10.469,19.0,27.4,162
2023-12-21 14:43:05.430,18.9,27.4,158
2023-12-21 14:43:00.390,19.0,27.5,157
2023-12-21 14:42:55.350,19.0,27.5,157
2023-12-21 14:42:50.310,18.9,27.7,152
2023-12-21 14:42:45.270,19.0,27.8,150
2023-12-21 14:42:40.230,19.0,27.9,154
2023-12-21 14:42:35.190,18.9,28.2,158
2023-12-21 14:42:30.150,18.9,28.4,155
2023-12-21 14:42:25.109,19.0,28.5,155
2023-12-21 14:42:20.069,19.0,28.8,143
2023-12-21 14:42:15.028,19.0,29.0,140
2023-12-21 14:42:09.987,19.0,29.3,130
2023-12-21 14:42:04.948,19.0,29.2,138
2023-12-21 14:41:59.907,19.0,29.2,117
2023-12-21 14:41:54.867,19.0,29.5,96
2023-12-21 14:41:49.827,19.1,29.6,170
2023-12-21 14:41:44.787,19.0,29.7,170
2023-12-21 14:41:39.747,19.1,29.6,129
2023-12-21 14:41:34.706,19.1,29.8,147
2023-12-21 14:41:29.666,19.1,29.9,135
2023-12-21 14:41:24.626,19.1,29.9,163
2023-12-21 14:41:19.587,19.2,30.3,97
2023-12-21 14:41:14.546,19.2,30.9,164
2023-12-21 14:41:09.506,19.2,31.7,140
2023-12-21 14:41:04.467,19.3,32.4,170
2023-12-21 14:40:59.427,19.3,33.3,170
2023-12-21 14:40:54.386,19.3,33.1,150
2023-12-21 14:40:49.347,19.2,31.9,17
2023-12-21 14:40:44.307,19.2,32.1,37
2023-12-21 14:40:39.266,19.4,32.2,70
2023-12-21 14:40:34.226,19.0,29.6,123
2023-12-21 14:40:29.186,19.0,29.0,2
2023-12-21 14:40:24.146,18.8,27.1,31
2023-12-21 14:40:19.105,18.8,27.1,129
2023-12-21 14:40:14.065,18.8,27.2,129
2023-12-21 14:40:09.025,18.8,27.3,124
2023-12-21 14:40:03.984,18.8,27.4,123
